站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
IE,Transfer,,Transfer,total,提现金额,18,单维度费用,
IT,Commissione di servizio,Costo della pubblicità,Commissione di servizio/Costo della pubblicità,totale,广告费,36,单维度费用,广告费
IT,Commissioni per le transazioni di Logistica di Amazon,,Commissioni per le transazioni di Logistica di Amazon,totale,FBA配送交易服务费,25,单维度费用,尾程派送费
IT,Costo di stoccaggio Logistica di Amazon,Tariffa per mettere l'inventario a disposizione di Amazon,Costo di stoccaggio Logistica di Amazon/Tariffa per mettere l'inventario a disposizione di Amazon,totale,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
IT,Costo di stoccaggio Logistica di Amazon,Tariffa di stoccaggio di Logistica di Amazon,Costo di stoccaggio Logistica di Amazon/Tariffa di stoccaggio di Logistica di Amazon,totale,FBA仓储费,29,单维度费用,仓储费
IT,Costo di stoccaggio Logistica di Amazon,Tariffa di stoccaggio a lungo termine Logistica di Amazon,Costo di stoccaggio Logistica di Amazon/Tariffa di stoccaggio a lungo termine Logistica di Amazon,totale,FBA长期仓储费,29,单维度费用,仓储费
IT,Costo di stoccaggio Logistica di Amazon,Capacity Reservation Fee,Costo di stoccaggio Logistica di Amazon/Capacity Reservation Fee,totale,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
IT,Modifica,Rimborso inventario Logistica di Amazon. Reso cliente,Modifica/Rimborso inventario Logistica di Amazon. Reso cliente,totale,FBA库存赔偿-客户退货,5,单维度费用,索赔
IT,Modifica,Rimborso inventario Logistica di Amazon. Smarrito in magazzino,Modifica/Rimborso inventario Logistica di Amazon. Smarrito in magazzino,totale,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
IT,Modifica,Rimborso inventario Logistica di Amazon. Danneggiato in magazzino,Modifica/Rimborso inventario Logistica di Amazon. Danneggiato in magazzino,totale,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
IT,Modifica,Rimborso inventario Logistica di Amazon. Aggiustamento generale,Modifica/Rimborso inventario Logistica di Amazon. Aggiustamento generale,totale,FBA库存赔偿-常规调整,35,单维度费用,售后费用
IT,Order_Retrocharge,,Order_Retrocharge,imposta sulle vendite dei prodotti,订单追加费-商品税,41,多维度费用,税费
IT,Order_Retrocharge,,Order_Retrocharge,imposta accrediti per le spedizioni,订单追加费-运费税,41,多维度费用,税费
IT,Order_Retrocharge,,Order_Retrocharge,trattenuta IVA del marketplace,订单追加费-平台代扣代缴税额,43,多维度费用,税费
IT,Ordine,,Ordine,Vendite,商品销售收入,3,订单,订单金额
IT,Ordine,,Ordine,imposta sulle vendite dei prodotti,商品销售税,41,订单,税费
IT,Ordine,,Ordine,Accrediti per le spedizioni,运费销售收入,8,订单,订单金额
IT,Ordine,,Ordine,imposta accrediti per le spedizioni,运费税,41,订单,税费
IT,Ordine,,Ordine,Accrediti per confezioni regalo,包装收入,10,订单,订单金额
IT,Ordine,,Ordine,imposta sui crediti confezione regalo,包装税,41,订单,税费
IT,Ordine,,Ordine,Sconti promozionali,折扣金额,12,订单,订单金额
IT,Ordine,,Ordine,imposta sugli sconti promozionali,折扣税,41,订单,税费
IT,Ordine,,Ordine,trattenuta IVA del marketplace,平台代扣代缴税额,43,订单,税费
IT,Ordine,,Ordine,Commissioni di vendita,佣金,23,订单,平台佣金
IT,Ordine,,Ordine,Costi del servizio Logistica di Amazon,运费,25,订单,尾程派送费
IT,Ordine,,Ordine,Altri costi relativi alle transazioni,其他交易费用,27,订单,弃置费/退货手续费/移除费
IT,Ordine,,Ordine,Altro,其他,25,订单,售后费用
IT,Rimborso,,Rimborso,Vendite,商品销售收入-退货,4,订单,退款金额
IT,Rimborso,,Rimborso,imposta sulle vendite dei prodotti,商品销售税-退货,42,订单,税费
IT,Rimborso,,Rimborso,Accrediti per le spedizioni,运费销售收入-退货,9,订单,退款金额
IT,Rimborso,,Rimborso,imposta accrediti per le spedizioni,运费税-退货,42,订单,税费
IT,Rimborso,,Rimborso,Accrediti per confezioni regalo,包装收入-退货,11,订单,退款金额
IT,Rimborso,,Rimborso,imposta sui crediti confezione regalo,包装税-退货,42,订单,税费
IT,Rimborso,,Rimborso,Sconti promozionali,折扣金额-退货,13,订单,退款金额
IT,Rimborso,,Rimborso,imposta sugli sconti promozionali,折扣税-退货,42,订单,税费
IT,Rimborso,,Rimborso,trattenuta IVA del marketplace,平台代扣代缴税额-退货,43,订单,税费
IT,Rimborso,,Rimborso,Commissioni di vendita,佣金-退货,24,订单,平台佣金
IT,Rimborso,,Rimborso,Costi del servizio Logistica di Amazon,运费-退货,26,订单,尾程派送费
IT,Rimborso,,Rimborso,Altri costi relativi alle transazioni,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
IT,Rimborso,,Rimborso,Altro,其他-退货,4,订单,售后费用
IT,Tariffe e commissioni Amazon,Commissione basata sulla performance del coupon,Tariffe e commissioni Amazon/Commissione basata sulla performance del coupon,totale,优惠券点击费,33,单维度费用,推广费
IT,Tariffe e commissioni Amazon,Commissione di partecipazione ai coupon,Tariffe e commissioni Amazon/Commissione di partecipazione ai coupon,totale,优惠活动报名费,33,单维度费用,推广费
IT,Tariffe e commissioni Amazon,Commissione di partecipazione all'offerta,Tariffe e commissioni Amazon/Commissione di partecipazione all'offerta,totale,促销活动服务费,33,单维度费用,推广费
IT,Tariffe e commissioni Amazon,Commissione basata sulla performance dell'offerta,Tariffe e commissioni Amazon/Commissione basata sulla performance dell'offerta,totale,促销活动报名费,33,单维度费用,推广费
IT,Trasferimento,,Trasferimento,totale,提现金额,18,单维度费用,
JP,Amazon手数料,クーポンのパフォーマンスベースに基づく手数料,Amazon手数料/クーポンのパフォーマンスベースに基づく手数料,合計,优惠券点击费,33,单维度费用,推广费
JP,Amazon手数料,クーポンを提供する際の手数料,Amazon手数料/クーポンを提供する際の手数料,合計,优惠活动报名费,33,单维度费用,推广费
JP,Amazon手数料,タイムセールのパフォーマンスに基づく手数料,Amazon手数料/タイムセールのパフォーマンスに基づく手数料,合計,秒杀活动服务费,33,单维度费用,推广费
JP,Amazon手数料,タイムセールを提供する際の手数料,Amazon手数料/タイムセールを提供する際の手数料,合計,秒杀活动报名费,33,单维度费用,推广费
JP,FBA 在庫関連の手数料,FBA在庫の返送手数料,FBA 在庫関連の手数料/FBA在庫の返送手数料,合計,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
JP,FBA 在庫関連の手数料,FBA在庫保管手数料:,FBA 在庫関連の手数料/FBA在庫保管手数料:,合計,FBA仓储费,29,单维度费用,仓储费
JP,FBA 在庫関連の手数料,FBA長期在庫保管手数料,FBA 在庫関連の手数料/FBA長期在庫保管手数料,合計,FBA长期仓储费,29,单维度费用,仓储费
JP,FBA 在庫関連の手数料,FBA在庫の廃棄手数料,FBA 在庫関連の手数料/FBA在庫の廃棄手数料,合計,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
JP,FBA 在庫関連の手数料 - 取り消し,FBA在庫保管手数料:,FBA 在庫関連の手数料 - 取り消し/FBA在庫保管手数料:,合計,FBA仓储费-取消,29,单维度费用,仓储费
JP,FBA 在庫関連の手数料 - 訂正,FBA在庫保管手数料:,FBA 在庫関連の手数料 - 訂正/FBA在庫保管手数料:,合計,FBA仓储费-调整,29,单维度费用,仓储费
JP,調整,FBA在庫の返金 - 購入者による返品:,調整/FBA在庫の返金 - 購入者による返品:,合計,FBA库存赔偿-客户退货,5,单维度费用,索赔
JP,調整,FBA在庫の返金 - 紛失: フルフィルメントセンター:,調整/FBA在庫の返金 - 紛失: フルフィルメントセンター:,合計,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
JP,調整,FBA在庫の返金 - 紛失: 出荷時:,調整/FBA在庫の返金 - 紛失: 出荷時:,合計,FBA库存赔偿-出运丢失,46,单维度费用,索赔
JP,調整,購入者の再課金：,調整/購入者の再課金：,合計,客户货款追回,46,单维度费用,售后费用
JP,調整,FBA在庫の返金 - 紛失: フルフィルメントセンター,調整/FBA在庫の返金 - 紛失: フルフィルメントセンター,合計,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
JP,返金,,返金,商品売上,商品销售收入-退货,4,订单,退款金额
JP,返金,,返金,商品の売上税,商品销售税-退货,42,订单,税费
JP,返金,,返金,配送料,运费销售收入-退货,9,订单,退款金额
JP,返金,,返金,配送料の税金,运费税-退货,42,订单,税费
JP,返金,,返金,ギフト包装手数料,包装收入-退货,11,订单,退款金额
JP,返金,,返金,ギフト包装クレジットの税金,包装税-退货,42,订单,税费
JP,返金,,返金,Amazonポイントの費用,亚马逊积分费用-退货,45,订单,弃置费/退货手续费/移除费
JP,返金,,返金,プロモーション割引額,折扣金额-退货,13,订单,退款金额
JP,返金,,返金,プロモーション割引の税金,折扣税-退货,42,订单,税费
JP,返金,,返金,源泉徴収税を伴うマーケットプレイス,平台代扣代缴税额-退货,43,订单,税费
JP,返金,,返金,手数料,佣金-退货,24,订单,平台佣金
JP,返金,,返金,FBA 手数料,运费-退货,26,订单,尾程派送费
JP,返金,,返金,トランザクションに関するその他の手数料,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
JP,返金,,返金,その他,其他-退货-日本,46,订单,售后费用
JP,振込み,,振込み,合計,提现金额,18,单维度费用,
JP,注文,,注文,商品売上,商品销售收入,3,订单,订单金额
JP,注文,,注文,商品の売上税,商品销售税,41,订单,税费
JP,注文,,注文,配送料,运费销售收入,8,订单,订单金额
JP,注文,,注文,配送料の税金,运费税,41,订单,税费
JP,注文,,注文,ギフト包装手数料,包装收入,10,订单,订单金额
JP,注文,,注文,ギフト包装クレジットの税金,包装税,41,订单,税费
JP,注文,,注文,Amazonポイントの費用,亚马逊积分费用,44,订单,弃置费/退货手续费/移除费
JP,注文,,注文,プロモーション割引額,折扣金额,12,订单,订单金额
JP,注文,,注文,プロモーション割引の税金,折扣税,41,订单,税费
JP,注文,,注文,源泉徴収税を伴うマーケットプレイス,平台代扣代缴税额,43,订单,税费
JP,注文,,注文,手数料,佣金,23,订单,平台佣金
JP,注文,,注文,FBA 手数料,运费,25,订单,尾程派送费
JP,注文,,注文,トランザクションに関するその他の手数料,其他交易费用,27,订单,弃置费/退货手续费/移除费
JP,注文,,注文,その他,其他,25,订单,售后费用
JP,注文外料金,広告費用,注文外料金/広告費用,合計,广告费,36,单维度费用,广告费
JP,注文外料金,月額登録料,注文外料金/月額登録料,合計,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
JP,注文外料金,クーポン償還手数料,注文外料金/クーポン償還手数料,合計,优惠活动服务费,33,单维度费用,推广费
NL,Aanpassing,Terugbetaling voor voorraad bij FBA - Retourzending klant,Aanpassing/Terugbetaling voor voorraad bij FBA - Retourzending klant,totaal,FBA库存赔偿-客户退货,5,单维度费用,索赔
NL,Bestelling,,Bestelling,verkoop van producten,商品销售收入,3,订单,订单金额
NL,Bestelling,,Bestelling,Verzendtegoeden,运费销售收入,8,订单,订单金额
NL,Bestelling,,Bestelling,kredietpunten cadeauverpakking,包装收入,10,订单,订单金额
NL,Bestelling,,Bestelling,promotiekortingen,折扣金额,12,订单,订单金额
NL,Bestelling,,Bestelling,geïnde omzetbelasting,已收取的销售税,41,订单,税费
NL,Bestelling,,Bestelling,Belasting voor marketplace-facilitator,平台代扣代缴税额,43,订单,税费
NL,Bestelling,,Bestelling,verkoopkosten,佣金,23,订单,平台佣金
NL,Bestelling,,Bestelling,fba-vergoedingen,运费,25,订单,尾程派送费
NL,Bestelling,,Bestelling,overige transactiekosten,其他交易费用,27,订单,弃置费/退货手续费/移除费
NL,Bestelling,,Bestelling,overige,其他,25,订单,售后费用
NL,Overboeking,,Overboeking,totaal,提现金额,18,单维度费用,
NL,Servicekosten,Kosten van reclame,Servicekosten/Kosten van reclame,totaal,广告费,36,单维度费用,广告费
NL,Terugbetaling,,Terugbetaling,verkoop van producten,商品销售收入-退货,4,订单,退款金额
NL,Terugbetaling,,Terugbetaling,Verzendtegoeden,运费销售收入-退货,9,订单,退款金额
NL,Terugbetaling,,Terugbetaling,kredietpunten cadeauverpakking,包装收入-退货,11,订单,退款金额
NL,Terugbetaling,,Terugbetaling,promotiekortingen,折扣金额-退货,13,订单,退款金额
NL,Terugbetaling,,Terugbetaling,geïnde omzetbelasting,已收取的销售税-退货,42,订单,税费
NL,Terugbetaling,,Terugbetaling,Belasting voor marketplace-facilitator,平台代扣代缴税额-退货,43,订单,税费
NL,Terugbetaling,,Terugbetaling,verkoopkosten,佣金-退货,24,订单,平台佣金
NL,Terugbetaling,,Terugbetaling,fba-vergoedingen,运费-退货,26,订单,尾程派送费
NL,Terugbetaling,,Terugbetaling,overige transactiekosten,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
NL,Terugbetaling,,Terugbetaling,overige,其他-退货,4,订单,售后费用
PL,Opłata za usługę,Koszt reklamy,Opłata za usługę/Koszt reklamy,suma,广告费,36,单维度费用,广告费
PL,Przelew,,Przelew,suma,提现金额,18,单维度费用,
PL,Zamówienie,,Zamówienie,sprzedaż produktów,商品销售收入,3,订单,订单金额
PL,Zamówienie,,Zamówienie,noty kredytowe za wysyłkę,运费销售收入,8,订单,订单金额
PL,Zamówienie,,Zamówienie,środki na pokrycie pakowania na prezent,包装收入,10,订单,订单金额
PL,Zamówienie,,Zamówienie,rabaty promocyjne,折扣金额,12,订单,订单金额
PL,Zamówienie,,Zamówienie,pobrany podatek od sprzedaży,已收取的销售税,41,订单,税费
PL,Zamówienie,,Zamówienie,Podatek od transakcji Marketplace Facilitator,平台代扣代缴税额,43,订单,税费
PL,Zamówienie,,Zamówienie,opłaty za sprzedaż,佣金,23,订单,平台佣金
PL,Zamówienie,,Zamówienie,opłaty za fba,运费,25,订单,尾程派送费
PL,Zamówienie,,Zamówienie,inne opłaty transakcyjne,其他交易费用,27,订单,弃置费/退货手续费/移除费
PL,Zamówienie,,Zamówienie,inne,其他,25,订单,售后费用
PL,Zwrot kosztów,,Zwrot kosztów,sprzedaż produktów,商品销售收入-退货,4,订单,退款金额
PL,Zwrot kosztów,,Zwrot kosztów,noty kredytowe za wysyłkę,运费销售收入-退货,9,订单,退款金额
PL,Zwrot kosztów,,Zwrot kosztów,środki na pokrycie pakowania na prezent,包装收入-退货,11,订单,退款金额
PL,Zwrot kosztów,,Zwrot kosztów,rabaty promocyjne,折扣金额-退货,13,订单,退款金额
PL,Zwrot kosztów,,Zwrot kosztów,pobrany podatek od sprzedaży,已收取的销售税-退货,42,订单,税费
PL,Zwrot kosztów,,Zwrot kosztów,Podatek od transakcji Marketplace Facilitator,平台代扣代缴税额-退货,43,订单,税费
PL,Zwrot kosztów,,Zwrot kosztów,opłaty za sprzedaż,佣金-退货,24,订单,平台佣金
PL,Zwrot kosztów,,Zwrot kosztów,opłaty za fba,运费-退货,26,订单,尾程派送费
PL,Zwrot kosztów,,Zwrot kosztów,inne opłaty transakcyjne,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
PL,Zwrot kosztów,,Zwrot kosztów,inne,其他-退货,4,订单,售后费用
PL,Korekta,Zwrot kosztów zapasów FBA — zwrot od klienta,Korekta/Zwrot kosztów zapasów FBA — zwrot od klienta,,FBA库存赔偿-客户退货,5,单维度费用,索赔
PL,Dług,,Dług,suma,应付亚马逊其他款项,21,单维度费用,售后费用
SE,Återbetalning,,Återbetalning,försäljning av produkter,商品销售收入-退货,4,订单,退款金额
SE,Återbetalning,,Återbetalning,fraktkrediter,运费销售收入-退货,9,订单,退款金额
SE,Återbetalning,,Återbetalning,krediter för presentinslagning,包装收入-退货,11,订单,退款金额
SE,Återbetalning,,Återbetalning,kampanjrabatter,折扣金额-退货,13,订单,退款金额
SE,Återbetalning,,Återbetalning,Inkasserad moms,已收取的销售税-退货,42,订单,税费
SE,Återbetalning,,Återbetalning,Skatt för marknadsplatsförmedlare,平台代扣代缴税额-退货,43,订单,税费
SE,Återbetalning,,Återbetalning,försäljningsavgifter,佣金-退货,24,订单,平台佣金
SE,Återbetalning,,Återbetalning,fba-avgifter,运费-退货,26,订单,尾程派送费
SE,Återbetalning,,Återbetalning,övriga transaktionsavgifter,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
SE,Återbetalning,,Återbetalning,Övrigt,其他-退货,4,订单,售后费用
SE,Order,,Order,försäljning av produkter,商品销售收入,3,订单,订单金额
SE,Order,,Order,fraktkrediter,运费销售收入,8,订单,订单金额
SE,Order,,Order,krediter för presentinslagning,包装收入,10,订单,订单金额
SE,Order,,Order,kampanjrabatter,折扣金额,12,订单,订单金额
SE,Order,,Order,Inkasserad moms,已收取的销售税,41,订单,税费
SE,Order,,Order,Skatt för marknadsplatsförmedlare,平台代扣代缴税额,43,订单,税费
SE,Order,,Order,försäljningsavgifter,佣金,23,订单,平台佣金
SE,Order,,Order,fba-avgifter,运费,25,订单,尾程派送费
SE,Order,,Order,övriga transaktionsavgifter,其他交易费用,27,订单,弃置费/退货手续费/移除费
SE,Order,,Order,Övrigt,其他,25,订单,售后费用
SE,Överföring,,Överföring,totalt,提现金额,18,单维度费用,
SE,Serviceavgift,Kostnad för reklam,Serviceavgift/Kostnad för reklam,totalt,广告费,36,单维度费用,广告费
UK,Adjustment,FBA Inventory Reimbursement - Customer Return,Adjustment/FBA Inventory Reimbursement - Customer Return,toatl,FBA库存赔偿-客户退货,5,单维度费用,索赔
UK,Adjustment,FBA Inventory Reimbursement - Lost:Warehouse,Adjustment/FBA Inventory Reimbursement - Lost:Warehouse,toatl,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
UK,Adjustment,FBA Inventory Reimbursement - Damaged:Warehouse,Adjustment/FBA Inventory Reimbursement - Damaged:Warehouse,toatl,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
UK,Adjustment,FBA Inventory Reimbursement - General Adjustment,Adjustment/FBA Inventory Reimbursement - General Adjustment,toatl,FBA库存赔偿-常规调整,35,单维度费用,售后费用
UK,Adjustment,FBA Inventory Reimbursement - Fee Correction,Adjustment/FBA Inventory Reimbursement - Fee Correction,toatl,FBA库存赔偿-费用调整,5,单维度费用,索赔
UK,Adjustment,FBA Inventory Reimbursement - Lost:Outbound,Adjustment/FBA Inventory Reimbursement - Lost:Outbound,toatl,FBA库存赔偿-出运丢失,46,单维度费用,索赔
UK,Amazon Fees,Voucher participation fee,Amazon Fees/Voucher participation fee,toatl,优惠活动报名费,33,单维度费用,推广费
UK,Amazon Fees,Voucher performance-based fee,Amazon Fees/Voucher performance-based fee,toatl,优惠券点击费,33,单维度费用,推广费
UK,Amazon Fees,Deal participation fee,Amazon Fees/Deal participation fee,toatl,秒杀活动报名费,33,单维度费用,推广费
UK,Amazon Fees,Deal performance-based fee,Amazon Fees/Deal performance-based fee,toatl,秒杀活动服务费,33,单维度费用,推广费
UK,Amazon Fees,Vine Enrolment Fee,Amazon Fees/Vine Enrolment Fee,toatl,好评活动注册费,33,单维度费用,推广费
UK,FBA Inventory Fee,FBA Disposal Fee,FBA Inventory Fee/FBA Disposal Fee,toatl,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
UK,FBA Inventory Fee,FBA storage fee,FBA Inventory Fee/FBA storage fee,toatl,FBA仓储费,29,单维度费用,仓储费
UK,FBA Inventory Fee,FBA Long-Term Storage Fee,FBA Inventory Fee/FBA Long-Term Storage Fee,toatl,FBA长期仓储费,29,单维度费用,仓储费
UK,Fulfilment by Amazon (FBA) transaction fees,,Fulfilment by Amazon (FBA) transaction fees,toatl,FBA配送交易服务费,25,单维度费用,尾程派送费
UK,Liquidations,,Liquidations,product sales,清仓-收入,6,多维度费用,订单金额
UK,Liquidations,,Liquidations,product sales tax,清仓-税费,41,多维度费用,税费
UK,Liquidations,,Liquidations,,清仓-平台代扣代缴税额,43,多维度费用,税费
UK,Liquidations,,Liquidations,other transaction fees,清仓-服务费,38,多维度费用,弃置费/退货手续费/移除费
UK,order,,order,product sales,商品销售收入,3,订单,订单金额
UK,order,,order,product sales tax,商品销售税,41,订单,税费
UK,order,,order,postage credits,运费销售收入,8,订单,订单金额
UK,order,,order,shipping credits tax,运费税,41,订单,税费
UK,order,,order,gift wrap credits,包装收入,10,订单,订单金额
UK,order,,order,giftwrap credits tax,包装税,41,订单,税费
UK,order,,order,promotional rebates,折扣金额,12,订单,订单金额
UK,order,,order,promotional rebates tax,折扣税,41,订单,税费
UK,order,,order,marketplace withheld tax,平台代扣代缴税额,43,订单,税费
UK,order,,order,selling fees,佣金,23,订单,平台佣金
UK,order,,order,fba fees,运费,25,订单,尾程派送费
UK,order,,order,other transaction fees,其他交易费用,27,订单,弃置费/退货手续费/移除费
UK,order,,order,other,其他,25,订单,售后费用
UK,Order_Retrocharge,,Order_Retrocharge,total,订单追加费-商品税,41,多维度费用,税费
UK,Order_Retrocharge,,Order_Retrocharge,total,订单追加费-运费税,41,多维度费用,税费
UK,Order_Retrocharge,,Order_Retrocharge,total,订单追加费-平台代扣代缴税额,43,多维度费用,税费
UK,Refund,,Refund,product sales,商品销售收入-退货,4,订单,退款金额
UK,Refund,,Refund,product sales tax,商品销售税-退货,42,订单,税费
UK,Refund,,Refund,postage credits,运费销售收入-退货,9,订单,退款金额
UK,Refund,,Refund,shipping credits tax,运费税-退货,42,订单,税费
UK,Refund,,Refund,gift wrap credits,包装收入-退货,11,订单,退款金额
UK,Refund,,Refund,giftwrap credits tax,包装税-退货,42,订单,税费
UK,Refund,,Refund,promotional rebates,折扣金额-退货,13,订单,退款金额
UK,Refund,,Refund,promotional rebates tax,折扣税-退货,42,订单,税费
UK,Refund,,Refund,marketplace withheld tax,平台代扣代缴税额-退货,43,订单,税费
UK,Refund,,Refund,selling fees,佣金-退货,24,订单,平台佣金
UK,Refund,,Refund,fba fees,运费-退货,26,订单,尾程派送费
UK,Refund,,Refund,other transaction fees,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
UK,Refund,,Refund,other,其他-退货,4,订单,售后费用
UK,Service Fee,Cost of Advertising,Service Fee/Cost of Advertising,total,广告费,36,单维度费用,广告费
UK,Service Fee,Subscription,Service Fee/Subscription,total,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
UK,Service Fee,Coupon Redemption Fee,Service Fee/Coupon Redemption Fee,total,优惠券使用费,33,单维度费用,推广费
UK,Transfer,,Transfer,total,提现金额,18,单维度费用,
UK,FBA Inventory Fee,Capacity Reservation Fee,FBA Inventory Fee/Capacity Reservation Fee,total,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
US,Adjustment,FBA Inventory Reimbursement - Customer Service Issue,Adjustment/FBA Inventory Reimbursement - Customer Service Issue,total,FBA库存赔偿-客户服务费,5,单维度费用,索赔
US,Adjustment,FBA Inventory Reimbursement - Customer Return,Adjustment/FBA Inventory Reimbursement - Customer Return,total,FBA库存赔偿-客户退货,5,单维度费用,索赔
US,Adjustment,FBA Inventory Reimbursement - Damaged:Warehouse,Adjustment/FBA Inventory Reimbursement - Damaged:Warehouse,total,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
US,Adjustment,FBA Inventory Reimbursement - General Adjustment,Adjustment/FBA Inventory Reimbursement - General Adjustment,total,FBA库存赔偿-常规调整,35,单维度费用,售后费用
US,Adjustment,FBA Inventory Reimbursement - Lost:Warehouse,Adjustment/FBA Inventory Reimbursement - Lost:Warehouse,total,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
US,Adjustment,FBA Inventory Reimbursement - Lost:Outbound,Adjustment/FBA Inventory Reimbursement - Lost:Outbound,total,FBA库存赔偿-出运丢失,46,单维度费用,索赔
US,Amazon Fees,Coupon Performance Based Fee,Amazon Fees/Coupon Performance Based Fee,total,优惠券点击费,33,单维度费用,推广费
US,Amazon Fees,Coupon Participation Fee,Amazon Fees/Coupon Participation Fee,total,优惠活动报名费,33,单维度费用,推广费
US,Amazon Fees,Deal Performance Based Fee,Amazon Fees/Deal Performance Based Fee,total,秒杀活动服务费,33,单维度费用,推广费
US,Amazon Fees,Deal Participation Fee,Amazon Fees/Deal Participation Fee,total,秒杀活动报名费,33,单维度费用,推广费
US,FBA Inventory Fee,FBA Removal Order: Return Fee,FBA Inventory Fee/FBA Removal Order: Return Fee,total,FBA退回运费,29,单维度费用,售后费用
US,FBA Inventory Fee,FBA storage fee,FBA Inventory Fee/FBA storage fee,total,FBA仓储费,29,单维度费用,仓储费
US,FBA Inventory Fee,FBA Removal Order: Disposal Fee,FBA Inventory Fee/FBA Removal Order: Disposal Fee,total,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
US,FBA Inventory Fee,FBA Long-Term Storage Fee,FBA Inventory Fee/FBA Long-Term Storage Fee,total,FBA长期仓储费,29,单维度费用,仓储费
US,FBA Transaction fees,FBA Customer Returns Fee,FBA Transaction fees/FBA Customer Returns Fee,total,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
US,Liquidations,,Liquidations,product sales,清仓-收入,6,多维度费用,订单金额
US,Liquidations,,Liquidations,product sales tax,清仓-税费,41,多维度费用,税费
US,Liquidations,,Liquidations,,清仓-平台代扣代缴税额,43,多维度费用,税费
US,Liquidations,,Liquidations,other transaction fees,清仓-服务费,38,多维度费用,弃置费/退货手续费/移除费
US,Liquidations,,Liquidations,,清仓-采购成本,待发生此类型金额,多维度费用,商品成本
US,Liquidations Adjustments,,Liquidations Adjustments,product sales,清仓-收入调整,7,多维度费用,订单金额
US,Liquidations Adjustments,,Liquidations Adjustments,product sales tax,清仓-税费调整,41,多维度费用,税费
US,Liquidations Adjustments,,Liquidations Adjustments,,清仓-平台代扣代缴税额调整,43,多维度费用,税费
US,Liquidations Adjustments,,Liquidations Adjustments,other transaction fees,清仓-服务费调整,38,多维度费用,弃置费/退货手续费/移除费
US,Order,,Order,product sales,商品销售收入,3,订单,订单金额
US,Order,,Order,product sales tax,商品销售税,41,订单,税费
US,Order,,Order,shipping credits,运费销售收入,8,订单,订单金额
US,Order,,Order,shipping credits tax,运费税,41,订单,税费
US,Order,,Order,gift wrap credits,包装收入,10,订单,订单金额
US,Order,,Order,giftwrap credits tax,包装税,41,订单,税费
US,Order,,Order,Regulatory Fee,监管费,待发生此类型金额,订单,弃置费/退货手续费/移除费
US,Order,,Order,Tax On Regulatory Fee,监管费税,待发生此类型金额,订单,税费
US,Order,,Order,promotional rebates,折扣金额,12,订单,订单金额
US,Order,,Order,promotional rebates tax,折扣税,41,订单,税费
US,Order,,Order,marketplace withheld tax,平台代扣代缴税额,43,订单,税费
US,Order,,Order,selling fees,佣金,23,订单,平台佣金
US,Order,,Order,fba fees,运费,25,订单,尾程派送费
US,Order,,Order,other transaction fees,其他交易费用,27,订单,弃置费/退货手续费/移除费
US,Order,,Order,other,其他,25,订单,售后费用
US,Order_Retrocharge,,Order_Retrocharge,product sales tax,订单追加费-商品税,41,多维度费用,税费
US,Order_Retrocharge,,Order_Retrocharge,shipping credits tax,订单追加费-运费税,41,多维度费用,税费
US,Order_Retrocharge,,Order_Retrocharge,marketplace withheld tax,订单追加费-平台代扣代缴税额,43,多维度费用,税费
US,Refund,,Refund,product sales,商品销售收入-退货,4,订单,退款金额
US,Refund,,Refund,product sales tax,商品销售税-退货,42,订单,税费
US,Refund,,Refund,shipping credits,运费销售收入-退货,9,订单,退款金额
US,Refund,,Refund,shipping credits tax,运费税-退货,42,订单,税费
US,Refund,,Refund,gift wrap credits,包装收入-退货,11,订单,退款金额
US,Refund,,Refund,giftwrap credits tax,包装税-退货,42,订单,税费
US,Refund,,Refund,Regulatory Fee,监管费-退货,待发生此类型金额,订单,弃置费/退货手续费/移除费
US,Refund,,Refund,Tax On Regulatory Fee,监管费税-退货,待发生此类型金额,订单,税费
US,Refund,,Refund,promotional rebates,折扣金额-退货,13,订单,退款金额
US,Refund,,Refund,promotional rebates tax,折扣税-退货,42,订单,税费
