站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
CA,Chargeback Refund,,Chargeback Refund,other,其他-客户拒付,15,订单,售后费用
CA,Fee Adjustment,Fee Adjustment – Weight and Dimension Change,Fee Adjustment/Fee Adjustment – Weight and Dimension Change,total,费用调整-重量体积调整,26,单维度费用,弃置费/退货手续费/移除费
CA,,促销,促销,total,优惠活动服务费,33,单维度费用,推广费
CA,,,其他交易服务费,total,其他交易服务费,33,单维度费用,弃置费/退货手续费/移除费
CA,Amazon fees,Coupon participation fee,Amazon fees/Coupon participation fee,total,优惠活动报名费,33,单维度费用,推广费
CA,Amazon fees,Coupon performance-based fee,Amazon fees/Coupon performance-based fee,total,优惠券点击费,33,单维度费用,推广费
DE,Anpassung,Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung,Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung,Gesamt,FBA库存赔偿-客户退货,5,单维度费用,索赔
DE,Anpassung,Versand durch Amazon Erstattung für Lagerbestand - Im Lager verloren,Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Im Lager verloren,Gesamt,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
DE,Anpassung,Versand durch Amazon Erstattung für Lagerbestand -  Allgemeine Anpassung,Anpassung/Versand durch Amazon Erstattung für Lagerbestand -  Allgemeine Anpassung,Gesamt,FBA库存赔偿-常规调整,35,单维度费用,售后费用
DE,Anpassung,Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt,Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt,Gesamt,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
DE,Anpassung,Versand durch Amazon Erstattung für Lagerbestand - Verloren bei Auslieferung,Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Verloren bei Auslieferung,Gesamt,FBA库存赔偿-配送中途丢失,35,单维度费用,索赔
DE,Anpassung,Käufer Wiedereinzug,Anpassung/Käufer Wiedereinzug,Gesamt,客户货款追回,46,单维度费用,售后费用
