站点,二维匹配数据列-1,二维匹配数据列-2,中文意思,账单字段序列,维度,绩效表对应维度
DE,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
DE,商品销售收入,商品销售税,商品销售税,41,订单,税费
DE,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
DE,商品销售收入,运费税,运费税,41,订单,税费
DE,商品销售收入,包装收入,包装收入,10,订单,订单金额
DE,商品销售收入,包装税,包装税,41,订单,税费
DE,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
DE,商品销售收入,折扣税,折扣税,41,订单,税费
DE,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
DE,商品销售收入,佣金,佣金,23,订单,平台佣金
DE,商品销售收入,运费,运费,25,订单,尾程派送费
DE,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
DE,商品销售收入,其他,其他,25,订单,售后费用
DE,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
DE,订单追加费-商品税,运费税,订单追加费-运费税,41,多维度费用,税费
DE,订单追加费-商品税,平台代扣代缴税额,订单追加费-平台代扣代缴税额,43,多维度费用,税费
DE,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
DE,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
DE,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
DE,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
DE,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
DE,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
DE,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
DE,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
DE,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
DE,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
DE,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
DE,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
DE,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
DE,商品销售收入-客户拒付,商品销售收入,商品销售收入-客户拒付,15,订单,订单金额
DE,商品销售收入-客户拒付,商品销售税,商品销售税-客户拒付,42,订单,税费
DE,商品销售收入-客户拒付,运费销售收入,运费销售收入-客户拒付,15,订单,订单金额
DE,商品销售收入-客户拒付,运费税,运费税-客户拒付,42,订单,税费
DE,商品销售收入-客户拒付,包装收入,包装收入-客户拒付,15,订单,订单金额
DE,商品销售收入-客户拒付,包装税,包装税-客户拒付,42,订单,税费
DE,商品销售收入-客户拒付,折扣金额,折扣金额-客户拒付,15,订单,订单金额
DE,商品销售收入-客户拒付,折扣税,折扣税-客户拒付,42,订单,税费
DE,商品销售收入-客户拒付,平台代扣代缴税额,平台代扣代缴税额-客户拒付,43,订单,税费
DE,商品销售收入-客户拒付,佣金,佣金-客户拒付,15,订单,平台佣金
DE,商品销售收入-客户拒付,运费,运费-客户拒付,15,订单,尾程派送费
DE,商品销售收入-客户拒付,其他交易费用,其他交易费用-客户拒付,15,订单,弃置费/退货手续费/移除费
DE,商品销售收入-客户拒付,其他,其他-客户拒付,15,订单,售后费用
DE,退款追加费-商品税,商品销售税,退款追加费-商品税,42,多维度费用,税费
DE,退款追加费-商品税,运费税,退款追加费-运费税,42,多维度费用,税费
DE,退款追加费-商品税,平台代扣代缴税额,退款追加费-平台代扣代缴税额,43,多维度费用,税费
DE,优惠活动报名费,佣金,优惠活动报名费,33,单维度费用,推广费
DE,优惠活动服务费,佣金,优惠券点击费,33,单维度费用,推广费
DE,秒杀活动报名费,佣金,秒杀活动报名费,33,单维度费用,推广费
DE,秒杀活动服务费,佣金,秒杀活动服务费,33,单维度费用,推广费
DE,好评活动注册费,佣金,好评活动注册费,33,单维度费用,推广费
DE,清仓-收入,商品销售收入,清仓-收入,6,多维度费用,订单金额
DE,清仓-收入,商品销售税,清仓-税费,41,多维度费用,税费
DE,清仓-收入,平台代扣代缴税额,清仓-平台代扣代缴税额,43,多维度费用,税费
DE,清仓-收入,其他交易费用,清仓-服务费,38,多维度费用,弃置费/退货手续费/移除费
DE,清仓-收入调整,商品销售收入,清仓-收入调整,7,多维度费用,订单金额
DE,清仓-收入调整,商品销售税,清仓-税费调整,41,多维度费用,税费
DE,清仓-收入调整,平台代扣代缴税额,清仓-平台代扣代缴税额调整,43,多维度费用,税费
DE,清仓-收入调整,其他交易费用,清仓-服务费调整,38,多维度费用,弃置费/退货手续费/移除费
DE,广告费,其他交易费用,广告费,36,单维度费用,广告费
DE,优惠活动服务费,其他交易费用,优惠活动服务费,33,单维度费用,推广费
DE,FBA退货服务费,运费,FBA退货服务费,29,单维度费用,售后费用
DE,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
DE,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
DE,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
DE,FBA仓储超量费,其他,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
DE,提现金额,其他,提现金额,18,单维度费用,
ES,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
ES,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
ES,FBA库存赔偿-常规调整,其他,FBA库存赔偿-常规调整,35,单维度费用,售后费用
ES,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
ES,订单追加费-商品税,运费税,订单追加费-运费税,41,多维度费用,税费
ES,订单追加费-商品税,平台代扣代缴税额,订单追加费-平台代扣代缴税额,43,多维度费用,税费
ES,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
ES,商品销售收入,商品销售税,商品销售税,41,订单,税费
ES,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
ES,商品销售收入,运费税,运费税,41,订单,税费
ES,商品销售收入,包装收入,包装收入,10,订单,订单金额
ES,商品销售收入,包装税,包装税,41,订单,税费
ES,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
ES,商品销售收入,折扣税,折扣税,41,订单,税费
ES,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
ES,商品销售收入,佣金,佣金,23,订单,平台佣金
ES,商品销售收入,运费,运费,25,订单,尾程派送费
ES,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
ES,商品销售收入,其他,其他,25,订单,售后费用
ES,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
ES,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
ES,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
ES,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
ES,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
ES,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
ES,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
ES,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
ES,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
ES,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
ES,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
ES,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
ES,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
ES,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
ES,订单追加费-商品税,运费税,订单追加费-运费税,41,多维度费用,税费
ES,订单追加费-商品税,平台代扣代缴税额,订单追加费-平台代扣代缴税额,43,多维度费用,税费
ES,广告费,其他交易费用,广告费,36,单维度费用,广告费
ES,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
ES,优惠活动报名费,其他交易费用,优惠活动报名费,33,单维度费用,推广费
ES,好评活动报名费,佣金,好评活动报名费,33,单维度费用,推广费
ES,好评活动服务费,佣金,好评活动服务费,33,单维度费用,推广费
ES,好评活动注册费,佣金,好评活动注册费,33,单维度费用,推广费
ES,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
ES,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
ES,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
ES,FBA仓储超量费,其他,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
ES,FBA配送费,运费,FBA配送费,25,单维度费用,尾程派送费
ES,提现金额,其他,提现金额,18,单维度费用,
FR,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
FR,FBA库存赔偿-仓库损毁,其他,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
FR,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
FR,FBA库存赔偿-常规调整,其他,FBA库存赔偿-常规调整,35,单维度费用,售后费用
FR,FBA库存赔偿-仓库损毁,其他,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
FR,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
FR,优惠活动报名费,其他交易费用,优惠活动报名费,33,单维度费用,推广费
FR,促销活动服务费,佣金,促销活动服务费,33,单维度费用,推广费
FR,促销活动报名费,佣金,促销活动报名费,33,单维度费用,推广费
FR,好评活动注册费,佣金,好评活动注册费,33,单维度费用,推广费
FR,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
FR,商品销售收入,商品销售税,商品销售税,41,订单,税费
FR,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
FR,商品销售收入,运费税,运费税,41,订单,税费
FR,商品销售收入,包装收入,包装收入,10,订单,订单金额
FR,商品销售收入,包装税,包装税,41,订单,税费
FR,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
FR,商品销售收入,折扣税,折扣税,41,订单,税费
FR,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
FR,商品销售收入,佣金,佣金,23,订单,平台佣金
FR,商品销售收入,运费,运费,25,订单,尾程派送费
FR,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
FR,商品销售收入,其他,其他,25,订单,售后费用
FR,广告费,其他交易费用,广告费,36,单维度费用,广告费
FR,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
FR,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
FR,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
FR,FBA配送费,运费,FBA配送费,25,单维度费用,尾程派送费
FR,FBA仓储超量费,其他,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
FR,其他服务费-ERP费用,其他,其他服务费-ERP费用,33,单维度费用,推广费
FR,优惠活动服务费,其他交易费用,优惠活动服务费,33,单维度费用,推广费
FR,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
FR,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
FR,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
FR,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
FR,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
FR,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
FR,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
FR,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
FR,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
FR,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
FR,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
FR,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
