站点,二维匹配数据列-1,二维匹配数据列-2,中文意思,账单字段序列,维度,绩效表对应维度
PL,商品销售收入,其他,其他,25,订单,售后费用
PL,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
PL,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
PL,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
PL,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
PL,商品销售收入-退货,已收取的销售税,已收取的销售税-退货,42,订单,税费
PL,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
PL,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
PL,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
PL,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
PL,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
PL,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
PL,应付亚马逊其他款项,其他,应付亚马逊其他款项,21,单维度费用,售后费用
SE,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
SE,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
SE,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
SE,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
SE,商品销售收入-退货,已收取的销售税,已收取的销售税-退货,42,订单,税费
SE,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
SE,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
SE,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
SE,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
SE,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
SE,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
SE,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
SE,商品销售收入,包装收入,包装收入,10,订单,订单金额
SE,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
SE,商品销售收入,已收取的销售税,已收取的销售税,41,订单,税费
SE,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
SE,商品销售收入,佣金,佣金,23,订单,平台佣金
SE,商品销售收入,运费,运费,25,订单,尾程派送费
SE,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
SE,商品销售收入,其他,其他,25,订单,售后费用
SE,提现金额,其他,提现金额,18,单维度费用,
SE,广告费,其他交易费用,广告费,36,单维度费用,广告费
UK,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
UK,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
UK,FBA库存赔偿-仓库损毁,其他,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
UK,FBA库存赔偿-常规调整,其他,FBA库存赔偿-常规调整,35,单维度费用,售后费用
UK,FBA库存赔偿-费用调整,其他,FBA库存赔偿-费用调整,5,单维度费用,索赔
UK,FBA库存赔偿-出运丢失,其他,FBA库存赔偿-出运丢失,46,单维度费用,索赔
UK,优惠活动报名费,其他交易费用,优惠活动报名费,33,单维度费用,推广费
UK,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
UK,秒杀活动报名费,佣金,秒杀活动报名费,33,单维度费用,推广费
UK,秒杀活动服务费,佣金,秒杀活动服务费,33,单维度费用,推广费
UK,好评活动注册费,佣金,好评活动注册费,33,单维度费用,推广费
UK,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
UK,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
UK,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
UK,FBA配送交易服务费,运费,FBA配送交易服务费,25,单维度费用,尾程派送费
UK,清仓-收入,商品销售收入,清仓-收入,6,多维度费用,订单金额
UK,清仓-收入,商品销售税,清仓-税费,41,多维度费用,税费
UK,清仓-收入,平台代扣代缴税额,清仓-平台代扣代缴税额,43,多维度费用,税费
UK,清仓-收入,其他交易费用,清仓-服务费,38,多维度费用,弃置费/退货手续费/移除费
UK,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
UK,商品销售收入,商品销售税,商品销售税,41,订单,税费
UK,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
UK,商品销售收入,运费税,运费税,41,订单,税费
UK,商品销售收入,包装收入,包装收入,10,订单,订单金额
UK,商品销售收入,包装税,包装税,41,订单,税费
UK,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
UK,商品销售收入,折扣税,折扣税,41,订单,税费
UK,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
UK,商品销售收入,佣金,佣金,23,订单,平台佣金
UK,商品销售收入,运费,运费,25,订单,尾程派送费
UK,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
UK,商品销售收入,其他,其他,25,订单,售后费用
UK,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
UK,订单追加费-商品税,运费税,订单追加费-运费税,41,多维度费用,税费
UK,订单追加费-商品税,平台代扣代缴税额,订单追加费-平台代扣代缴税额,43,多维度费用,税费
UK,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
UK,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
UK,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
UK,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
UK,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
UK,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
UK,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
UK,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
UK,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
UK,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
UK,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
UK,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
UK,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
UK,广告费,其他交易费用,广告费,36,单维度费用,广告费
UK,店铺月租,其他,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
UK,优惠券使用费,其他交易费用,优惠券使用费,33,单维度费用,推广费
UK,提现金额,其他,提现金额,18,单维度费用,
UK,FBA仓储超量费,其他,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
US,FBA库存赔偿-客户服务费,其他,FBA库存赔偿-客户服务费,5,单维度费用,索赔
US,FBA库存赔偿-客户退货,其他,FBA库存赔偿-客户退货,5,单维度费用,索赔
US,FBA库存赔偿-仓库损毁,其他,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
US,FBA库存赔偿-常规调整,其他,FBA库存赔偿-常规调整,35,单维度费用,售后费用
US,FBA库存赔偿-仓库遗失,其他,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
US,FBA库存赔偿-出运丢失,其他,FBA库存赔偿-出运丢失,46,单维度费用,索赔
US,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
US,优惠活动报名费,其他交易费用,优惠活动报名费,33,单维度费用,推广费
US,秒杀活动服务费,佣金,秒杀活动服务费,33,单维度费用,推广费
US,秒杀活动报名费,佣金,秒杀活动报名费,33,单维度费用,推广费
US,FBA退回运费,其他,FBA退回运费,29,单维度费用,售后费用
US,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
US,FBA弃置费,其他,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
US,FBA长期仓储费,其他,FBA长期仓储费,29,单维度费用,仓储费
US,FBA客户退货处理费,运费,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
US,清仓-收入,商品销售收入,清仓-收入,6,多维度费用,订单金额
US,清仓-收入,商品销售税,清仓-税费,41,多维度费用,税费
US,清仓-收入,平台代扣代缴税额,清仓-平台代扣代缴税额,43,多维度费用,税费
US,清仓-收入,其他交易费用,清仓-服务费,38,多维度费用,弃置费/退货手续费/移除费
US,清仓-收入,采购成本,清仓-采购成本,待发生此类型金额,多维度费用,商品成本
US,清仓-收入调整,商品销售收入,清仓-收入调整,7,多维度费用,订单金额
US,清仓-收入调整,商品销售税,清仓-税费调整,41,多维度费用,税费
US,清仓-收入调整,平台代扣代缴税额,清仓-平台代扣代缴税额调整,43,多维度费用,税费
US,清仓-收入调整,其他交易费用,清仓-服务费调整,38,多维度费用,弃置费/退货手续费/移除费
US,商品销售收入,商品销售收入,商品销售收入,3,订单,订单金额
US,商品销售收入,商品销售税,商品销售税,41,订单,税费
US,商品销售收入,运费销售收入,运费销售收入,8,订单,订单金额
US,商品销售收入,运费税,运费税,41,订单,税费
US,商品销售收入,包装收入,包装收入,10,订单,订单金额
US,商品销售收入,包装税,包装税,41,订单,税费
US,商品销售收入,监管费,监管费,待发生此类型金额,订单,弃置费/退货手续费/移除费
US,商品销售收入,监管费税,监管费税,待发生此类型金额,订单,税费
US,商品销售收入,折扣金额,折扣金额,12,订单,订单金额
US,商品销售收入,折扣税,折扣税,41,订单,税费
US,商品销售收入,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
US,商品销售收入,佣金,佣金,23,订单,平台佣金
US,商品销售收入,运费,运费,25,订单,尾程派送费
US,商品销售收入,其他交易费用,其他交易费用,27,订单,弃置费/退货手续费/移除费
US,商品销售收入,其他,其他,25,订单,售后费用
US,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
US,订单追加费-商品税,运费税,订单追加费-运费税,41,多维度费用,税费
US,订单追加费-商品税,平台代扣代缴税额,订单追加费-平台代扣代缴税额,43,多维度费用,税费
US,商品销售收入-退货,商品销售收入,商品销售收入-退货,4,订单,退款金额
US,商品销售收入-退货,商品销售税,商品销售税-退货,42,订单,税费
US,商品销售收入-退货,运费销售收入,运费销售收入-退货,9,订单,退款金额
US,商品销售收入-退货,运费税,运费税-退货,42,订单,税费
US,商品销售收入-退货,包装收入,包装收入-退货,11,订单,退款金额
US,商品销售收入-退货,包装税,包装税-退货,42,订单,税费
US,商品销售收入-退货,监管费,监管费-退货,待发生此类型金额,订单,弃置费/退货手续费/移除费
US,商品销售收入-退货,监管费税,监管费税-退货,待发生此类型金额,订单,税费
US,商品销售收入-退货,折扣金额,折扣金额-退货,13,订单,退款金额
US,商品销售收入-退货,折扣税,折扣税-退货,42,订单,税费
US,商品销售收入-退货,平台代扣代缴税额,平台代扣代缴税额-退货,43,订单,税费
US,商品销售收入-退货,佣金,佣金-退货,24,订单,平台佣金
US,商品销售收入-退货,运费,运费-退货,26,订单,尾程派送费
US,商品销售收入-退货,其他交易费用,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
US,商品销售收入-退货,其他,其他-退货,4,订单,售后费用
US,退款追加费-商品税,商品销售税,退款追加费-商品税,42,多维度费用,税费
US,退款追加费-商品税,运费税,退款追加费-运费税,42,多维度费用,税费
US,退款追加费-商品税,平台代扣代缴税额,退款追加费-平台代扣代缴税额,43,多维度费用,税费
US,广告费,其他交易费用,广告费,36,单维度费用,广告费
US,FBA入库配置费,其他,FBA入库配置费,33,单维度费用,弃置费/退货手续费/移除费
US,店铺月租,其他,店铺月租,33,单维度费用,弃置费/退货手续费/移除费
US,亚马逊罚款-送错仓库,运费,亚马逊罚款-送错仓库,33,单维度费用,索赔
US,亚马逊罚款-删除货件,运费,亚马逊罚款-删除货件,33,单维度费用,索赔
US,亚马逊罚款-送错仓库,运费,亚马逊罚款-送错仓库,33,单维度费用,索赔
US,提现金额,其他,提现金额,18,单维度费用,
US,好评活动注册费,佣金,好评活动注册费,33,单维度费用,推广费
US,应付亚马逊其他款项,其他,应付亚马逊其他款项,21,单维度费用,售后费用
US,费用调整-重量体积调整,运费,费用调整-重量体积调整,26,单维度费用,弃置费/退货手续费/移除费
US,客户货款追回-美区,其他,客户货款追回-美区,35,单维度费用,售后费用
US,非订阅类费用的调整,其他,非订阅类费用的调整,35,单维度费用,售后费用
CA,订单追加费-商品税,商品销售税,订单追加费-商品税,41,多维度费用,税费
CA,订单追加费-商品税,运费税,运费税,41,订单,税费
CA,订单追加费-商品税,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
CA,退款追加费-商品税,商品销售税,退款追加费-商品税,42,多维度费用,税费
CA,退款追加费-商品税,运费税,退款追加费-运费税,42,多维度费用,税费
CA,退款追加费-商品税,平台代扣代缴税额,退款追加费-平台代扣代缴税额,43,多维度费用,税费
US,商品销售收入,采购成本,商品采购成本,待发生此类型金额,订单,商品成本
US,商品销售收入,头程运费,商品头程运费,待发生此类型金额,订单,头程成本
US,商品销售收入,头程税费,商品头程税费,待发生此类型金额,订单,头程成本
US,商品销售收入-退货,采购成本,商品采购成本,待发生此类型金额,订单,商品成本
US,商品销售收入-退货,头程运费,商品头程运费,待发生此类型金额,订单,头程成本
US,商品销售收入-退货,头程税费,商品头程税费,待发生此类型金额,订单,头程成本
US,FBA库存赔偿-客户服务费,头程税费,退货服务费-头程税费,待发生此类型金额,订单,头程成本
US,FBA库存赔偿-客户服务费,头程运费,退货服务费-头程运费,待发生此类型金额,订单,头程成本
US,FBA库存赔偿-客户退货,头程税费,退货头程税费,待发生此类型金额,订单,头程成本
US,FBA库存赔偿-客户退货,头程运费,退货头程运费,待发生此类型金额,订单,头程成本
US,FBA仓储超量费,其他,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
US,佣金调整,其他,佣金调整,待发生此类型金额,单维度费用,平台佣金
US,FBA客户退货处理费,其他,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
US,好评活动注册费,其他,好评活动注册费,33,单维度费用,推广费
US,FBA仓储运输费,其他,FBA仓储运输费,待发生此类型金额,单维度费用,头程成本
US,广告费退款,其他交易费用,广告费退款,37,单维度费用,广告费
US,入库手续费-缺少面单,运费,入库手续费-缺少面单,待发生此类型金额,单维度费用,弃置费/退货手续费/移除费
FR,其他调整,其他,其他调整,35,单维度费用,售后费用
IT,向买家收取的费用调整,其他,向买家收取的费用调整,35,单维度费用,售后费用
UK,FBA退回运费,其他,FBA退回运费,29,单维度费用,售后费用
CA,秒杀活动报名费,佣金,秒杀活动报名费,33,单维度费用,推广费
CA,秒杀活动服务费,佣金,秒杀活动服务费,33,单维度费用,推广费
US,固定费用调整,其他,固定费用调整,待发生此类型金额,单维度费用,平台佣金
US,礼品包装佣金调整,其他,礼品包装佣金调整,待发生此类型金额,单维度费用,平台佣金
US,运费退款调整,其他,运费退款调整,待发生此类型金额,单维度费用,尾程派送费
US,可变成交费调整,其他,可变成交费调整,待发生此类型金额,单维度费用,售后费用
US,FBA库存赔偿-入库丢失,其他,FBA库存赔偿-入库丢失,5,单维度费用,索赔
US,付款纠正,其他,付款纠正,待发生此类型金额,单维度费用,售后费用
US,FBA入库费用,其他,FBA入库费用,29,单维度费用,弃置费/退货手续费/移除费
US,优惠券点击费退回,佣金,优惠券点击费退回,33,单维度费用,推广费
US,卖家承担退回运费,其他,卖家承担退回运费,30,单维度费用,售后费用
IE,FBA仓储费,其他,FBA仓储费,29,单维度费用,仓储费
IT,好评活动注册费,佣金,好评活动注册费,33,单维度费用,推广费
SE,FBA库存赔偿-费用调整,其他,FBA库存赔偿-费用调整,5,单维度费用,索赔
US,运费调整,其他,运费调整,32,单维度费用,售后费用
DE,亚马逊额外退货处理费,其他,亚马逊额外退货处理费,29,单维度费用,售后费用
ES,FBA客户退货处理费,其他,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
IT,FBA客户退货处理费,其他,FBA客户退货处理费,25,单维度费用,弃置费/退货手续费/移除费
UK,索赔退款,商品销售收入,索赔退款,14,单维度费用,退款金额
UK,索赔退款,佣金,索赔退款,14,单维度费用,退款金额
UK,索赔退款,其他交易费用,索赔退款,14,单维度费用,退款金额
UK,索赔退款,商品销售税,商品销售税,41,订单,税费
UK,索赔退款,平台代扣代缴税额,平台代扣代缴税额,43,订单,税费
UK,费用调整-重量体积调整,其他交易费用,费用调整-重量体积调整,26,单维度费用,弃置费/退货手续费/移除费
DE,预提费用,其他,预提费用,20,单维度费用,售后费用
NL,补偿发放失败调整,其他,补偿发放失败调整,19,单维度费用,索赔
US,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
CA,优惠券点击费,佣金,优惠券点击费,33,单维度费用,推广费
CA,应付亚马逊其他款项,其他,应付亚马逊其他款项,21,单维度费用,售后费用
ES,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
FR,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
IT,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
JP,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
UK,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
US,优惠活动报名费,佣金,优惠活动报名费,33,推广费,推广费
