取值字段,中文意思
giftwrap credits tax,包装税-退货
imposta accrediti per le spedizioni,订单追加费-运费税
imposta accrediti per le spedizioni,运费税
imposta accrediti per le spedizioni,运费税-退货
imposta sugli sconti promozionali,折扣税
imposta sugli sconti promozionali,折扣税-退货
imposta sui crediti confezione regalo,包装税
imposta sui crediti confezione regalo,包装税-退货
imposta sulle vendite dei prodotti,订单追加费-商品税
imposta sulle vendite dei prodotti,商品销售税
imposta sulle vendite dei prodotti,商品销售税-退货
impuesto de ventas de productos,订单追加费-商品税
impuesto de ventas de productos,商品销售税
impuesto de ventas de productos,商品销售税-退货
impuesto retenido en el sitio web,订单追加费-平台代扣代缴税额
impuesto retenido en el sitio web,平台代扣代缴税额
impuesto retenido en el sitio web,平台代扣代缴税额-退货
impuestos de descuentos por promociones,折扣税
impuestos de descuentos por promociones,折扣税-退货
impuestos por abonos de envoltorio para regalo,包装税
impuestos por abonos de envoltorio para regalo,包装税-退货
impuestos por abonos de envío,订单追加费-运费税
impuestos por abonos de envío,运费税
impuestos por abonos de envío,运费税-退货
inne,其他
inne,其他-退货
inne opłaty transakcyjne,其他交易费用
inne opłaty transakcyjne,其他交易费用-退货
kampanjrabatter,折扣金额-退货
kampanjrabatter,折扣金额
kredietpunten cadeauverpakking,包装收入
kredietpunten cadeauverpakking,包装收入-退货
krediter för presentinslagning,包装收入-退货
krediter för presentinslagning,包装收入
marketplace withheld tax,平台代扣代缴税额
marketplace withheld tax,平台代扣代缴税额-退货
marketplace withheld tax,平台代扣代缴税额-客户拒付
marketplace withheld tax,订单追加费-平台代扣代缴税额
marketplace withheld tax,退款追加费-平台代扣代缴税额
noty kredytowe za wysyłkę,运费销售收入
noty kredytowe za wysyłkę,运费销售收入-退货
opłaty za fba,运费
opłaty za fba,运费-退货
opłaty za sprzedaż,佣金
opłaty za sprzedaż,佣金-退货
other,其他
other,其他-退货
other,广告费
other,店铺月租
other,优惠券使用费
other,其他-客户拒付
other transaction fees,其他交易费用
other transaction fees,其他交易费用-退货
other transaction fees,其他交易费用-客户拒付
other transaction fees,清仓-服务费
other transaction fees,清仓-服务费调整
otro,其他
otro,其他-退货
overige,其他
overige,其他-退货
overige transactiekosten,其他交易费用
overige transactiekosten,其他交易费用-退货
pobrany podatek od sprzedaży,已收取的销售税
pobrany podatek od sprzedaży,已收取的销售税-退货
postage credits,运费销售收入
postage credits,运费销售收入-退货
product sales,商品销售收入
product sales,商品销售收入-退货
product sales,商品销售收入-客户拒付
product sales,清仓-收入
product sales,清仓-收入调整
product sales tax,商品销售税
product sales tax,商品销售税-退货
product sales tax,商品销售税-客户拒付
product sales tax,清仓-税费
product sales tax,清仓-税费调整
product sales tax,订单追加费-商品税
product sales tax,退款追加费-商品税
promotiekortingen,折扣金额
promotiekortingen,折扣金额-退货
promotional rebates,折扣金额
promotional rebates,折扣金额-退货
promotional rebates,折扣金额-客户拒付
promotional rebates tax,折扣税
promotional rebates tax,折扣税-退货
promotional rebates tax,折扣税-客户拒付
rabaty promocyjne,折扣金额
rabaty promocyjne,折扣金额-退货
selling fees,佣金
selling fees,佣金-退货
selling fees,佣金-客户拒付
shipping credits,运费销售收入
shipping credits,运费销售收入-退货
shipping credits,运费销售收入-客户拒付
shipping credits tax,运费税
shipping credits tax,运费税-退货
shipping credits tax,运费税-客户拒付
shipping credits tax,订单追加费-运费税
shipping credits tax,退款追加费-运费税
sprzedaż produktów,商品销售收入
sprzedaż produktów,商品销售收入-退货
suma,广告费
suma,提现金额
suma,应付亚马逊其他款项
tarifas de Logística de Amazon,运费
tarifas de Logística de Amazon,运费-退货
tarifas de otras transacciones,其他交易费用
tarifas de otras transacciones,其他交易费用-退货
tarifas de venta,佣金
tarifas de venta,佣金-退货
taxe de ventes prélevée,已收取的销售税
taxe sur les crédits d’expédition,运费税
taxe sur les crédits d’expédition,运费税-退货
toatl,FBA库存赔偿-客户退货
toatl,FBA库存赔偿-仓库遗失
toatl,FBA库存赔偿-仓库损毁
toatl,FBA库存赔偿-常规调整
toatl,其他调整
toatl,FBA弃置费
toatl,FBA仓储费
toatl,FBA长期仓储费
toatl,FBA库存赔偿-费用调整
toatl,FBA库存赔偿-出运丢失
toatl,优惠活动报名费
toatl,优惠券点击费
toatl,秒杀活动报名费
toatl,秒杀活动服务费
toatl,好评活动注册费
toatl,FBA配送交易服务费
totaal,FBA库存赔偿-客户退货
totaal,提现金额
totaal,广告费
total,提现金额
total,费用调整-重量体积调整
total,优惠活动服务费
total,其他交易服务费
total,优惠活动报名费
total,优惠券点击费
total,FBA库存赔偿-仓库遗失
total,FBA库存赔偿-客户退货
total,FBA库存赔偿-常规调整
total,广告费
total,好评活动报名费
total,好评活动服务费
total,好评活动注册费
total,FBA弃置费
total,FBA仓储费
total,FBA长期仓储费
total,FBA仓储超量费
total,FBA配送费
total,FBA库存赔偿-仓库损毁
total,促销活动服务费
total,促销活动报名费
total,其他服务费-ERP费用
