SELLERSKU,ASIN,FNSKU,站点,账号,首单时间,仓库SKU,产品ID,一级大类,二级类目,三级类目,最新采购价
DKPOMTB030C1-K1GS-GYAZ-EU-S1,B0F5VQJS7S,X002AD738F,FR,amazon亚马逊欧洲_FR,2025/9/23,DKPOMT0001,DKPOMTB030C1-K1GS-GYAZ,动力工具,特殊工具,摆动多功能工具,82.7
DKPOSCC180C1-K1UL-GEAZ,B0DT5DX4XW,X004KMF8EX,CA,amazon老站_CA_CA,2025/8/13,DKPGLM0002,DKPOSCC180C1-K1UL-GEAZ,动力工具,花园工具,松耙机,344
DKPPASB100C1-K1UL-YBAZ,B0FDQKPHR2,X004Q9QVX7,CA,amazon老站_CA_CA,2025/10/12,DKPPAS0003,DKPPASB100C1-K1UL-YBAZ,动力工具,喷雾工具,喷枪,120
DKPPOPA080C1-K1BS-GYAZ-UK-S1,B0F6V735M5,X002AMGPQR,UK,amazon亚马逊欧洲_UK,2025/7/29,DKPPOP0004,DKPPOPA080C1-K1BS-GYAZ,动力工具,抛光工具,离心式抛光机,178
DKPPOPA080C1-K1GS-GYAZ-EU-S1,B0F5V1GDWF,X002AD7UXN,ES,amazon亚马逊欧洲_ES,2025/7/16,DKPPOP0003,DKPPOPA080C1-K1GS-GYAZ,动力工具,抛光工具,离心式抛光机,175.5
DKPPOPA090C1-K1BS-GYAZ-UK-S1,B0F6V9HGX9,X002AMKDOR,UK,amazon亚马逊欧洲_UK,2025/7/25,DKPPOP0002,DKPPOPA090C1-K1BS-GYAZ,动力工具,抛光工具,离心式抛光机,205
DKPPOPA090C1-K1GS-GYAZ-EU-S1,B0F5VJKBB5,X002AD5KFN,DE,amazon亚马逊欧洲_DE,2025/9/12,DKPPOP0001,DKPPOPA090C1-K1GS-GYAZ,动力工具,抛光工具,离心式抛光机,202.5
DKPPOPA090C1-K1GS-GYAZ-EU-S1,B0F5VJKBB5,X002AD5KFN,ES,amazon亚马逊欧洲_ES,2025/9/12,DKPPOP0001,DKPPOPA090C1-K1GS-GYAZ,动力工具,抛光工具,离心式抛光机,202.5
DKPPOPA090C1-K1GS-GYAZ-EU-S1,B0F5VJKBB5,X002AD5KFN,FR,amazon亚马逊欧洲_FR,2025/9/12,DKPPOP0001,DKPPOPA090C1-K1GS-GYAZ,动力工具,抛光工具,离心式抛光机,202.5
DKPPRPB120C1-K1BS-GYAZ-UK,B0F66JZ5CR,X002AGDBI3,UK,amazon亚马逊欧洲_UK,2025/7/11,DKPPRP0002,DKPPRPB120C1-K1BS-GYAZ,动力工具,抛光工具,旋转式抛光机,155
DKPPRPB120C1-K1GS-GYAZ-EU,B0F66DRCYW,,DE,amazon亚马逊欧洲_DE,2025/7/11,DKPPRP0001,DKPPRPB120C1-K1GS-GYAZ,动力工具,抛光工具,旋转式抛光机,152.5
DKPROSA030C1-K1JP-YBAZ,B0FHPJJ7HS,X001B15CYB,JP,日本新站_JP,2025/9/10,DKPROS0004,DKPROSA030C2-K1JP-YBAZ,动力工具,砂光工具,圆砂,94.95
DKPROSA030C1-K2BS-GYAZ-UK,B0FH8XQRCJ,X002CR6KR9,UK,amazon亚马逊欧洲_UK,2025/9/29,DKPROSA030C1-K2BS-GYAZ,DKPROSA030C1-K2BS-GYAZ,动力工具,砂光工具,圆砂,97.82
DKPROSA030C1-K2BS-RDAZ-UK,B0FH9D2HQW,X002CR30QD,UK,amazon亚马逊欧洲_UK,2025/10/4,DKPROSA030C1-K2BS-RDAZ,DKPROSA030C1-K2BS-RDAZ,动力工具,砂光工具,圆砂,97.82
DKPROSA030C1-K2BS-YEAZ-UK,B0FH9SXCZ9,X002CR6KHT,UK,amazon亚马逊欧洲_UK,2025/9/29,DKPROSA030C1-K2BS-YEAZ,DKPROSA030C1-K2BS-YEAZ,动力工具,砂光工具,圆砂,97.82
DKPROSA030C1-K2GS-GYAZ-EU,B0FH98R4BT,X002CR2W7B,DE,amazon亚马逊欧洲_DE,2025/10/4,DKPROSA030C1-K2GS-GYAZ,DKPROSA030C1-K2GS-GYAZ,动力工具,砂光工具,圆砂,95.32
DKPROSA030C1-K2GS-RDAZ-EU,B0FH97QLQJ,X002CR5X09,PL,amazon亚马逊欧洲_PL,2025/10/2,DKPROSA030C1-K2GS-RDAZ,DKPROSA030C1-K2GS-RDAZ,动力工具,砂光工具,圆砂,95.32
