原始列名,分组大类,中文列名
Vendite,商品销售收入,商品销售收入
Vendite,商品销售收入-退货,商品销售收入
Verkaufsgebühren,商品销售收入,佣金
Verkaufsgebühren,商品销售收入-退货,佣金
Verkaufsgebühren,商品销售收入-客户拒付,佣金
Verzendtegoeden,商品销售收入,运费销售收入
Verzendtegoeden,商品销售收入-退货,运费销售收入
abonos de envoltorio para regalo,商品销售收入,包装收入
abonos de envoltorio para regalo,商品销售收入-退货,包装收入
abonos de envío,商品销售收入,运费销售收入
abonos de envío,商品销售收入-退货,运费销售收入
autre,商品销售收入,其他
autre,商品销售收入-退货,其他
autres,商品销售收入,其他
autres frais de transaction,商品销售收入,其他交易费用
autres frais de transaction,广告费,其他交易费用
autres frais de transaction,商品销售收入-退货,其他交易费用
crédits d'expédition,商品销售收入,运费销售收入
crédits d'expédition,商品销售收入-退货,运费销售收入
crédits d’emballage-cadeau,商品销售收入,包装收入
crédits d’expédition,商品销售收入,运费销售收入
crédits sur l'emballage cadeau,商品销售收入,包装收入
crédits sur l'emballage cadeau,商品销售收入-退货,包装收入
devoluciones promocionales,商品销售收入,折扣金额
devoluciones promocionales,商品销售收入-退货,折扣金额
fba fees,商品销售收入,运费
fba fees,商品销售收入-退货,运费
fba fees,商品销售收入-客户拒付,运费
fba-avgifter,商品销售收入-退货,运费
fba-avgifter,商品销售收入,运费
fba-vergoedingen,商品销售收入,运费
fba-vergoedingen,商品销售收入-退货,运费
frais de vente,商品销售收入,佣金
frais de vente,商品销售收入-退货,佣金
fraktkrediter,商品销售收入-退货,运费销售收入
fraktkrediter,商品销售收入,运费销售收入
försäljning av produkter,商品销售收入-退货,商品销售收入
försäljning av produkter,商品销售收入,商品销售收入
försäljningsavgifter,商品销售收入-退货,佣金
försäljningsavgifter,商品销售收入,佣金
geïnde omzetbelasting,商品销售收入,已收取的销售税
geïnde omzetbelasting,商品销售收入-退货,已收取的销售税
gift wrap credits,商品销售收入,包装收入
gift wrap credits,商品销售收入-退货,包装收入
gift wrap credits,商品销售收入-客户拒付,包装收入
gift wrap credits tax,商品销售收入-退货,包装税
gift wrap credits tax,商品销售收入-客户拒付,包装税
giftwrap credits tax,商品销售收入,包装税
giftwrap credits tax,商品销售收入-退货,包装税
imposta accrediti per le spedizioni,订单追加费-商品税,运费税
imposta accrediti per le spedizioni,商品销售收入,运费税
imposta accrediti per le spedizioni,商品销售收入-退货,运费税
imposta sugli sconti promozionali,商品销售收入,折扣税
imposta sugli sconti promozionali,商品销售收入-退货,折扣税
imposta sui crediti confezione regalo,商品销售收入,包装税
imposta sui crediti confezione regalo,商品销售收入-退货,包装税
imposta sulle vendite dei prodotti,订单追加费-商品税,商品销售税
imposta sulle vendite dei prodotti,商品销售收入,商品销售税
imposta sulle vendite dei prodotti,商品销售收入-退货,商品销售税
impuesto de ventas de productos,订单追加费-商品税,商品销售税
impuesto de ventas de productos,商品销售收入,商品销售税
impuesto de ventas de productos,商品销售收入-退货,商品销售税
impuesto retenido en el sitio web,订单追加费-商品税,平台代扣代缴税额
impuesto retenido en el sitio web,商品销售收入,平台代扣代缴税额
impuesto retenido en el sitio web,商品销售收入-退货,平台代扣代缴税额
impuestos de descuentos por promociones,商品销售收入,折扣税
impuestos de descuentos por promociones,商品销售收入-退货,折扣税
impuestos por abonos de envoltorio para regalo,商品销售收入,包装税
impuestos por abonos de envoltorio para regalo,商品销售收入-退货,包装税
impuestos por abonos de envío,订单追加费-商品税,运费税
impuestos por abonos de envío,商品销售收入,运费税
impuestos por abonos de envío,商品销售收入-退货,运费税
inne,商品销售收入,其他
inne,商品销售收入-退货,其他
inne opłaty transakcyjne,商品销售收入,其他交易费用
inne opłaty transakcyjne,商品销售收入-退货,其他交易费用
kampanjrabatter,商品销售收入-退货,折扣金额
kampanjrabatter,商品销售收入,折扣金额
kredietpunten cadeauverpakking,商品销售收入,包装收入
kredietpunten cadeauverpakking,商品销售收入-退货,包装收入
krediter för presentinslagning,商品销售收入-退货,包装收入
krediter för presentinslagning,商品销售收入,包装收入
marketplace withheld tax,商品销售收入,平台代扣代缴税额
marketplace withheld tax,商品销售收入-退货,平台代扣代缴税额
marketplace withheld tax,商品销售收入-客户拒付,平台代扣代缴税额
marketplace withheld tax,订单追加费-商品税,平台代扣代缴税额
marketplace withheld tax,退款追加费-商品税,平台代扣代缴税额
noty kredytowe za wysyłkę,商品销售收入,运费销售收入
noty kredytowe za wysyłkę,商品销售收入-退货,运费销售收入
opłaty za fba,商品销售收入,运费
opłaty za fba,商品销售收入-退货,运费
opłaty za sprzedaż,商品销售收入,佣金
opłaty za sprzedaż,商品销售收入-退货,佣金
other,商品销售收入,其他
other,商品销售收入-退货,其他
other,广告费,其他交易费用
other,店铺月租,其他
other,优惠券使用费,其他交易费用
other,商品销售收入-客户拒付,其他
other transaction fees,商品销售收入,其他交易费用
other transaction fees,商品销售收入-退货,其他交易费用
other transaction fees,商品销售收入-客户拒付,其他交易费用
other transaction fees,清仓-收入,其他交易费用
other transaction fees,清仓-收入调整,其他交易费用
otro,商品销售收入,其他
otro,商品销售收入-退货,其他
overige,商品销售收入,其他
overige,商品销售收入-退货,其他
overige transactiekosten,商品销售收入,其他交易费用
overige transactiekosten,商品销售收入-退货,其他交易费用
pobrany podatek od sprzedaży,商品销售收入,已收取的销售税
pobrany podatek od sprzedaży,商品销售收入-退货,已收取的销售税
postage credits,商品销售收入,运费销售收入
postage credits,商品销售收入-退货,运费销售收入
product sales,商品销售收入,商品销售收入
product sales,商品销售收入-退货,商品销售收入
product sales,商品销售收入-客户拒付,商品销售收入
product sales,清仓-收入,商品销售收入
product sales,清仓-收入调整,商品销售收入
product sales tax,商品销售收入,商品销售税
product sales tax,商品销售收入-退货,商品销售税
product sales tax,商品销售收入-客户拒付,商品销售税
product sales tax,清仓-收入,商品销售税
product sales tax,清仓-收入调整,商品销售税
product sales tax,订单追加费-商品税,商品销售税
product sales tax,退款追加费-商品税,商品销售税
promotiekortingen,商品销售收入,折扣金额
promotiekortingen,商品销售收入-退货,折扣金额
promotional rebates,商品销售收入,折扣金额
promotional rebates,商品销售收入-退货,折扣金额
promotional rebates,商品销售收入-客户拒付,折扣金额
promotional rebates tax,商品销售收入,折扣税
promotional rebates tax,商品销售收入-退货,折扣税
promotional rebates tax,商品销售收入-客户拒付,折扣税
rabaty promocyjne,商品销售收入,折扣金额
rabaty promocyjne,商品销售收入-退货,折扣金额
selling fees,商品销售收入,佣金
selling fees,商品销售收入-退货,佣金
selling fees,商品销售收入-客户拒付,佣金
shipping credits,商品销售收入,运费销售收入
shipping credits,商品销售收入-退货,运费销售收入
shipping credits,商品销售收入-客户拒付,运费销售收入
shipping credits tax,商品销售收入,运费税
shipping credits tax,商品销售收入-退货,运费税
shipping credits tax,商品销售收入-客户拒付,运费税
shipping credits tax,订单追加费-商品税,运费税
shipping credits tax,退款追加费-商品税,运费税
sprzedaż produktów,商品销售收入,商品销售收入
sprzedaż produktów,商品销售收入-退货,商品销售收入
suma,广告费,其他交易费用
suma,提现金额,其他
suma,应付亚马逊其他款项,其他
tarifas de Logística de Amazon,商品销售收入,运费
tarifas de Logística de Amazon,商品销售收入-退货,运费
tarifas de otras transacciones,商品销售收入,其他交易费用
tarifas de otras transacciones,商品销售收入-退货,其他交易费用
tarifas de venta,商品销售收入,佣金
tarifas de venta,商品销售收入-退货,佣金
taxe de ventes prélevée,商品销售收入,已收取的销售税
taxe sur les crédits d’expédition,商品销售收入,运费税
taxe sur les crédits d’expédition,商品销售收入-退货,运费税
toatl,FBA库存赔偿-客户退货,其他
toatl,FBA库存赔偿-仓库遗失,其他
toatl,FBA库存赔偿-仓库损毁,其他
toatl,FBA库存赔偿-常规调整,其他
toatl,其他调整,其他
toatl,FBA弃置费,其他
toatl,FBA仓储费,其他
toatl,FBA长期仓储费,其他
toatl,FBA库存赔偿-费用调整,其他
toatl,FBA库存赔偿-出运丢失,其他
toatl,优惠活动报名费,其他交易费用
toatl,优惠券点击费,佣金
toatl,秒杀活动报名费,佣金
toatl,秒杀活动服务费,佣金
toatl,好评活动注册费,佣金
toatl,FBA配送交易服务费,运费
totaal,FBA库存赔偿-客户退货,其他
totaal,提现金额,其他
totaal,广告费,其他交易费用
total,提现金额,其他
total,费用调整-重量体积调整,运费
total,优惠活动服务费,其他交易费用
total,其他交易服务费,其他交易费用
total,优惠活动报名费,佣金
total,优惠活动服务费,佣金
total,FBA库存赔偿-仓库遗失,其他
total,FBA库存赔偿-客户退货,其他
total,FBA库存赔偿-常规调整,其他
total,广告费,其他交易费用
total,优惠券点击费,佣金
total,优惠活动报名费,其他交易费用
total,好评活动报名费,佣金
total,好评活动服务费,佣金
total,好评活动注册费,佣金
total,FBA弃置费,其他
total,FBA仓储费,其他
total,FBA长期仓储费,其他
total,FBA仓储超量费,其他
total,FBA配送费,运费
total,FBA库存赔偿-仓库损毁,其他
total,促销活动服务费,佣金
total,促销活动报名费,佣金
total,其他服务费-ERP费用,其他
total,订单追加费-商品税,商品销售税
total,订单追加费-商品税,运费税
total,订单追加费-商品税,平台代扣代缴税额
total,店铺月租,其他
total,优惠券使用费,其他交易费用
total,FBA库存赔偿-客户服务费,其他
total,FBA库存赔偿-出运丢失,其他
total,秒杀活动服务费,佣金
total,秒杀活动报名费,佣金
total,FBA退回运费,其他
total,FBA客户退货处理费,运费
total,FBA入库配置费,其他
total,亚马逊罚款-送错仓库,运费
